,subject,bvp,time_elapsed
240,11,-55.67,3.75
241,11,-63.36,3.765625
242,11,-70.26,3.78125
243,11,-74.7,3.796875
244,11,-75.15,3.8125
245,11,-70.73,3.828125
246,11,-61.49,3.84375
247,11,-48.51,3.859375
248,11,-33.61,3.875
249,11,-18.79,3.890625
250,11,-5.65,3.90625
251,11,4.99,3.921875
252,11,13.09,3.9375
253,11,19.2,3.953125
254,11,24.08,3.96875
255,11,28.32,3.984375
256,11,32.28,4.0
257,11,36.04,4.015625
258,11,39.52,4.03125
259,11,42.61,4.046875
260,11,45.21,4.0625
261,11,47.3,4.078125
262,11,48.86,4.09375
263,11,49.87,4.109375
264,11,50.33,4.125
265,11,50.24,4.140625
266,11,49.7,4.15625
267,11,48.93,4.171875
268,11,48.39,4.1875
269,11,48.59,4.203125
270,11,50.07,4.21875
271,11,53.05,4.234375
272,11,57.37,4.25
273,11,62.35,4.265625
274,11,66.91,4.28125
275,11,69.94,4.296875
276,11,70.59,4.3125
277,11,68.55,4.328125
278,11,64.1,4.34375
279,11,57.92,4.359375
280,11,50.82,4.375
281,11,43.46,4.390625
282,11,36.17,4.40625
283,11,29.07,4.421875
284,11,22.21,4.4375
285,11,15.76,4.453125
286,11,10.12,4.46875
287,11,5.83,4.484375
288,11,3.35,4.5
289,11,2.83,4.515625
290,11,3.92,4.53125
291,11,5.89,4.546875
292,11,7.76,4.5625
293,11,8.71,4.578125
294,11,8.41,4.59375
295,11,7.06,4.609375
296,11,5.33,4.625
297,11,4.0,4.640625
298,11,3.6,4.65625
299,11,4.13,4.671875
300,11,5.09,4.6875
301,11,5.54,4.703125
302,11,4.44,4.71875
303,11,0.91,4.734375
304,11,-5.6,4.75
305,11,-15.12,4.765625
306,11,-27.05,4.78125
307,11,-40.15,4.796875
308,11,-52.72,4.8125
309,11,-62.79,4.828125
310,11,-68.69,4.84375
311,11,-69.42,4.859375
312,11,-65.03,4.875
313,11,-56.55,4.890625
314,11,-45.69,4.90625
315,11,-34.35,4.921875
316,11,-24.07,4.9375
317,11,-15.7,4.953125
318,11,-9.38,4.96875
319,11,-4.73,4.984375
320,11,-1.14,5.0
321,11,1.92,5.015625
322,11,4.79,5.03125
323,11,7.61,5.046875
324,11,10.36,5.0625
325,11,12.97,5.078125
326,11,15.29,5.09375
327,11,17.16,5.109375
328,11,18.39,5.125
329,11,18.8,5.140625
330,11,18.38,5.15625
331,11,17.3,5.171875
332,11,15.93,5.1875
333,11,14.76,5.203125
334,11,14.2,5.21875
335,11,14.45,5.234375
336,11,15.4,5.25
337,11,16.67,5.265625
338,11,17.76,5.28125
339,11,18.25,5.296875
340,11,17.95,5.3125
341,11,16.95,5.328125
342,11,15.55,5.34375
343,11,14.05,5.359375
344,11,12.66,5.375
345,11,11.36,5.390625
346,11,9.96,5.40625
347,11,8.24,5.421875
348,11,6.14,5.4375
349,11,3.76,5.453125
350,11,1.33,5.46875
351,11,-0.89,5.484375
352,11,-2.87,5.5
353,11,-4.74,5.515625
354,11,-6.78,5.53125
355,11,-9.26,5.546875
356,11,-12.31,5.5625
357,11,-15.91,5.578125
358,11,-19.88,5.59375
359,11,-23.92,5.609375
360,11,-27.7,5.625
361,11,-30.96,5.640625
362,11,-33.54,5.65625
363,11,-35.44,5.671875
364,11,-36.88,5.6875
365,11,-38.29,5.703125
366,11,-40.17,5.71875
367,11,-42.92,5.734375
368,11,-46.6,5.75
369,11,-50.72,5.765625
370,11,-54.27,5.78125
